,index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,year,years_since_reform,reform,years_since_construction,mean_price_zipcode,option_buy
0,11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,Não,Não,4,300,1942,0,98115,47.69,-122.292,2014,0,Não,72,567000.0,buy
1,12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,Não,Não,4,0,1927,0,98028,47.7558,-122.229,2014,0,Não,87,445000.0,buy
2,13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,Não,Não,4,0,1977,0,98074,47.6127,-122.045,2014,0,Não,37,642000.0,buy
3,17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,Não,Não,4,0,1916,0,98103,47.6648,-122.343,2014,0,Não,98,550000.0,buy
4,18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,Não,Não,4,0,1921,0,98002,47.3089,-122.21,2014,0,Não,93,235000.0,buy
5,19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,Não,Não,4,0,1969,0,98003,47.3343,-122.306,2015,0,Não,46,267475.0,buy
6,25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,Não,Não,5,0,1941,0,98002,47.3048,-122.218,2014,0,Não,73,235000.0,buy
7,27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,Não,Não,5,0,1909,0,98112,47.6221,-122.314,2014,0,Não,105,915000.0,buy
8,33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,Não,Não,4,0,1929,0,98117,47.6889,-122.375,2014,0,Não,85,544000.0,buy
9,44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,Não,Não,4,360,1959,0,98058,47.4485,-122.175,2014,0,Não,55,335000.0,buy
10,48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,Não,Não,4,0,1953,0,98115,47.6796,-122.301,2015,0,Não,62,567000.0,buy
11,51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,Não,Não,4,1510,1966,0,98056,47.4934,-122.189,2015,0,Não,49,380000.0,buy
12,65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,Não,Não,5,1000,1925,0,98144,47.5747,-122.304,2014,0,Não,89,450000.0,buy
